var	Trust_broad	Trust_minimal	German_citizenship	Migration_background	Migration_generation	Discrimination_frequency	Personal_belonging_total	Belonging_citizenship	Belonging_sense	Personal_experience_number	Age	Gender	University_education
Trust_broad	1	0.97	0.21	-0.12	-0.09	-0.1	0.52	0.13	0.67	0.08	0.11	0.15	-0.11
Trust_minimal	0.97	1	0.19	-0.12	-0.08	-0.05	0.48	0.1	0.63	0.1	0.11	0.16	-0.1
German_citizenship	0.21	0.19	1	-0.54	-0.7	-0.02	0.42	0.44	0.29	0.24	-0.11	0.05	-0.05
Migration_background	-0.12	-0.12	-0.54	1	0.93	0	-0.12	-0.15	-0.05	-0.11	0.16	0	0.14
Migration_generation	-0.09	-0.08	-0.7	0.93	1	-0.01	-0.22	-0.32	-0.08	-0.16	0.19	0.03	0.12
Discrimination_frequency	-0.1	-0.05	-0.02	0	-0.01	1	-0.1	-0.06	-0.12	0.01	-0.01	-0.08	-0.24
Personal_belonging_total	0.52	0.48	0.42	-0.12	-0.22	-0.1	1	0.79	0.9	0.14	0.15	0.04	-0.02
Belonging_citizenship	0.13	0.1	0.44	-0.15	-0.32	-0.06	0.79	1	0.46	0.14	0.1	-0.06	0.02
Belonging_sense	0.67	0.63	0.29	-0.05	-0.08	-0.12	0.9	0.46	1	0.08	0.18	0.11	-0.05
Personal_experience_number	0.08	0.1	0.24	-0.11	-0.16	0.01	0.14	0.14	0.08	1	0.24	0.04	0.14
Age	0.11	0.11	-0.11	0.16	0.19	-0.01	0.15	0.1	0.18	0.24	1	0.26	0.25
Gender	0.15	0.16	0.05	0	0.03	-0.08	0.04	-0.06	0.11	0.04	0.26	1	0.03
University_education	-0.11	-0.1	-0.05	0.14	0.12	-0.24	-0.02	0.02	-0.05	0.14	0.25	0.03	1
