var1,var2,r,p,n,stars,r_with_sig
Trust_broad,Trust_minimal,0.972,0,82,***,0.972***
German_citizenship,Migration_background,-0.537,0,86,***,-0.537***
German_citizenship,Migration_generation,-0.703,0,86,***,-0.703***
Migration_background,Migration_generation,0.925,0,102,***,0.925***
Personal_belonging_total,Trust_broad,0.43,0,76,***,0.43***
Belonging_citizenship,German_citizenship,0.445,0,74,***,0.445***
Belonging_citizenship,Personal_belonging_total,0.594,0,74,***,0.594***
Belonging_citizenship,Belonging_sense,0.459,0,73,***,0.459***
Belonging_sense,Trust_broad,0.672,0,75,***,0.672***
Belonging_sense,Trust_minimal,0.63,0,75,***,0.63***
Belonging_sense,Personal_belonging_total,0.784,0,75,***,0.784***
Personal_belonging_total,Trust_minimal,0.382,0.001,76,**,0.382**
Belonging_citizenship,Migration_generation,-0.319,0.006,74,**,-0.319**
Belonging_sense,German_citizenship,0.294,0.01,75,*,0.294*
German_citizenship,Personal_belonging_total,0.252,0.028,76,*,0.252*
German_citizenship,Personal_experience_frequency,0.236,0.033,82,*,0.236*
German_citizenship,Trust_broad,0.211,0.057,82,.,0.211.
German_citizenship,Trust_minimal,0.188,0.09,82,.,0.188.
Migration_generation,Personal_experience_frequency,-0.159,0.153,82,,-0.159
Belonging_citizenship,Migration_background,-0.146,0.214,74,,-0.146
Belonging_citizenship,Personal_experience_frequency,0.144,0.22,74,,0.144
Personal_belonging_total,Personal_experience_frequency,0.138,0.236,76,,0.138
Migration_background,Trust_minimal,-0.125,0.265,82,,-0.125
Migration_background,Trust_broad,-0.122,0.274,82,,-0.122
Belonging_citizenship,Trust_broad,0.129,0.275,74,,0.129
Belonging_sense,Discrimination_frequency,-0.122,0.297,75,,-0.122
Migration_background,Personal_experience_frequency,-0.109,0.33,82,,-0.109
Personal_experience_frequency,Trust_minimal,0.097,0.385,82,,0.097
Belonging_citizenship,Trust_minimal,0.098,0.408,74,,0.098
Discrimination_frequency,Trust_broad,-0.095,0.41,77,,-0.095
Migration_generation,Trust_broad,-0.088,0.433,82,,-0.088
Migration_generation,Trust_minimal,-0.084,0.456,82,,-0.084
Discrimination_frequency,Personal_belonging_total,-0.084,0.471,76,,-0.084
Personal_experience_frequency,Trust_broad,0.078,0.487,82,,0.078
Belonging_sense,Personal_experience_frequency,0.08,0.493,75,,0.08
Belonging_sense,Migration_generation,-0.077,0.513,75,,-0.077
Migration_background,Personal_belonging_total,0.065,0.58,76,,0.065
Belonging_citizenship,Discrimination_frequency,-0.064,0.587,74,,-0.064
Discrimination_frequency,Trust_minimal,-0.049,0.67,77,,-0.049
Belonging_sense,Migration_background,-0.049,0.675,75,,-0.049
Migration_generation,Personal_belonging_total,-0.041,0.727,76,,-0.041
Discrimination_frequency,German_citizenship,-0.017,0.884,77,,-0.017
Discrimination_frequency,Personal_experience_frequency,0.005,0.963,77,,0.005
Discrimination_frequency,Migration_generation,-0.005,0.965,77,,-0.005
Discrimination_frequency,Migration_background,0.005,0.969,77,,0.005
