term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	5.095	0.66	7.71856097644898	0	3.778	6.411	Model 0: Cit + MigBG + controls
german_citizen_binaryYes	0.85	0.425	2.00086481754837	0.049	0.003	1.698	Model 0: Cit + MigBG + controls
migration_backgroundYes	-0.124	0.403	-0.307715067030861	0.759	-0.929	0.68	Model 0: Cit + MigBG + controls
age	0.01	0.014	0.702337514711275	0.485	-0.018	0.038	Model 0: Cit + MigBG + controls
gender_binaryMale	0.421	0.352	1.19629769645337	0.236	-0.281	1.124	Model 0: Cit + MigBG + controls
uni_binaryUni	-0.154	0.439	-0.351982110424132	0.726	-1.029	0.72	Model 0: Cit + MigBG + controls
(Intercept)	2.106	1.479	1.42410744081115	0.159	-0.844	5.056	Model 1: Cit×MigBG + controls
german_citizen_binaryYes	3.932	1.434	2.74194722553614	0.008	1.071	6.792	Model 1: Cit×MigBG + controls
migration_backgroundYes	2.985	1.44	2.07302388299978	0.042	0.112	5.858	Model 1: Cit×MigBG + controls
age	0.009	0.014	0.633514924296602	0.528	-0.019	0.036	Model 1: Cit×MigBG + controls
gender_binaryMale	0.345	0.344	1.00182990822497	0.32	-0.342	1.032	Model 1: Cit×MigBG + controls
uni_binaryUni	-0.054	0.429	-0.125895459274116	0.9	-0.91	0.802	Model 1: Cit×MigBG + controls
german_citizen_binaryYes:migration_backgroundYes	-3.367	1.501	-2.24407279009569	0.028	-6.361	-0.374	Model 1: Cit×MigBG + controls
(Intercept)	1.917	1.532	1.25098029646319	0.215	-1.14	4.973	Model 1: Alternative trust - minimal trust scale
german_citizen_binaryYes	4.089	1.486	2.75251944866221	0.008	1.126	7.053	Model 1: Alternative trust - minimal trust scale
migration_backgroundYes	3.123	1.492	2.09283703295059	0.04	0.146	6.099	Model 1: Alternative trust - minimal trust scale
age	0.009	0.014	0.653681418779152	0.515	-0.019	0.038	Model 1: Alternative trust - minimal trust scale
gender_binaryMale	0.39	0.357	1.09391284021353	0.278	-0.321	1.102	Model 1: Alternative trust - minimal trust scale
uni_binaryUni	0.008	0.444	0.0187876095676442	0.985	-0.878	0.895	Model 1: Alternative trust - minimal trust scale
german_citizen_binaryYes:migration_backgroundYes	-3.665	1.555	-2.357359822671	0.021	-6.767	-0.564	Model 1: Alternative trust - minimal trust scale
(Intercept)	2.091	1.491	1.40228667544696	0.165	-0.885	5.067	Model 1: Alternative migration - migration generation
german_citizen_binaryYes	3.951	1.444	2.73551636420115	0.008	1.068	6.833	Model 1: Alternative migration - migration generation
migration_generation2nd gen	1.676	2.001	0.837208833202628	0.405	-2.319	5.67	Model 1: Alternative migration - migration generation
migration_generation1st gen	3.063	1.452	2.10915625595517	0.039	0.164	5.962	Model 1: Alternative migration - migration generation
age	0.009	0.014	0.657096793960285	0.513	-0.019	0.037	Model 1: Alternative migration - migration generation
gender_binaryMale	0.298	0.35	0.852247685493978	0.397	-0.4	0.996	Model 1: Alternative migration - migration generation
uni_binaryUni	-0.052	0.433	-0.119303286110283	0.905	-0.915	0.812	Model 1: Alternative migration - migration generation
