"","institution_mean","bund_mean","council_mean","police_mean","court_mean","media_mean","immigr_mean","citizens_mean","german_citizen_binary","migration_background","discrim_mean","pb_total","pb_citizenship","pb_belonging","age","gender_binary","uni_binary"
"institution_mean",0,0,0,0,0,0,0,0,0.037,0.15,0.028,0.012,0.479,0,0.43,0.058,0.391
"bund_mean",0,0,0,0,0,0.003,0,0,0.073,0.084,0.234,0.01,0.599,0,0.068,0.055,0.856
"council_mean",0,0,0,0.002,0,0,0,0.001,0.406,0.29,0.041,0.081,0.993,0,0.819,0.981,0.981
"police_mean",0,0,0.002,0,0,0.027,0.034,0,0.161,0.166,0.189,0.05,0.364,0,0.028,0.214,0.503
"court_mean",0,0,0,0,0,0,0,0,0.896,0.555,0.016,0.013,0.828,0,0.598,0.117,0.593
"media_mean",0,0.003,0,0.027,0,0,0.877,0.163,0.013,0.184,0.209,0.227,0.588,0.001,0.506,0.335,0.45
"immigr_mean",0,0,0,0.034,0,0.877,0,0.001,0.815,0.54,0.189,0.151,0.366,0.024,0.803,0.269,0.747
"citizens_mean",0,0,0.001,0,0,0.163,0.001,0,0.144,0.593,0.24,0.012,0.082,0,0.206,0.11,0.573
"german_citizen_binary",0.037,0.073,0.406,0.161,0.896,0.013,0.815,0.144,0,0,0.299,0.05,0.001,0.011,0.5,0.422,0.21
"migration_background",0.15,0.084,0.29,0.166,0.555,0.184,0.54,0.593,0,0,0.64,0.137,0.249,0.563,0.853,0.768,0.079
"discrim_mean",0.028,0.234,0.041,0.189,0.016,0.209,0.189,0.24,0.299,0.64,0,0.688,0.661,0.079,0.532,0.389,0.81
"pb_total",0.012,0.01,0.081,0.05,0.013,0.227,0.151,0.012,0.05,0.137,0.688,0,0,0,0.158,0.17,0.876
"pb_citizenship",0.479,0.599,0.993,0.364,0.828,0.588,0.366,0.082,0.001,0.249,0.661,0,0,0.001,0.381,0.809,0.621
"pb_belonging",0,0,0,0,0,0.001,0.024,0,0.011,0.563,0.079,0,0.001,0,0.208,0.205,0.633
"age",0.43,0.068,0.819,0.028,0.598,0.506,0.803,0.206,0.5,0.853,0.532,0.158,0.381,0.208,0,0.005,0.007
"gender_binary",0.058,0.055,0.981,0.214,0.117,0.335,0.269,0.11,0.422,0.768,0.389,0.17,0.809,0.205,0.005,0,0.924
"uni_binary",0.391,0.856,0.981,0.503,0.593,0.45,0.747,0.573,0.21,0.079,0.81,0.876,0.621,0.633,0.007,0.924,0
