"","institution_mean","bund_mean","council_mean","police_mean","court_mean","media_mean","immigr_mean","citizens_mean","german_citizen_binary","migration_background","discrim_mean","pb_total","pb_citizenship","pb_belonging","age","gender_binary","uni_binary"
"institution_mean",1,0.796,0.736,0.728,0.826,0.626,0.552,0.748,0.245,-0.17,-0.263,0.292,0.088,0.685,0.096,0.23,-0.103
"bund_mean",0.796,1,0.652,0.507,0.462,0.349,0.513,0.613,0.213,-0.205,-0.145,0.3,0.066,0.628,0.221,0.233,-0.022
"council_mean",0.736,0.652,1,0.365,0.589,0.479,0.53,0.413,0.1,-0.126,-0.245,0.207,-0.001,0.448,-0.028,0.003,-0.003
"police_mean",0.728,0.507,0.365,1,0.548,0.265,0.321,0.511,0.166,-0.164,-0.159,0.231,0.113,0.482,0.262,0.152,-0.08
"court_mean",0.826,0.462,0.589,0.548,1,0.467,0.512,0.598,-0.016,0.072,-0.289,0.295,-0.027,0.578,-0.066,0.195,-0.065
"media_mean",0.626,0.349,0.479,0.265,0.467,1,-0.024,0.178,0.296,-0.161,-0.153,0.146,0.068,0.388,-0.083,0.121,-0.092
"immigr_mean",0.552,0.513,0.53,0.321,0.512,-0.024,1,0.49,-0.036,0.095,-0.202,0.22,-0.14,0.339,-0.04,0.177,-0.051
"citizens_mean",0.748,0.613,0.413,0.511,0.598,0.178,0.49,1,0.185,-0.068,-0.149,0.312,0.224,0.648,0.164,0.209,-0.072
"german_citizen_binary",0.245,0.213,0.1,0.166,-0.016,0.296,-0.036,0.185,1,-0.506,0.126,0.226,0.385,0.307,0.081,0.096,-0.146
"migration_background",-0.17,-0.205,-0.126,-0.164,0.072,-0.161,0.095,-0.068,-0.506,1,-0.057,0.157,-0.143,-0.071,0.022,-0.034,0.197
"discrim_mean",-0.263,-0.145,-0.245,-0.159,-0.289,-0.153,-0.202,-0.149,0.126,-0.057,1,-0.049,0.055,-0.215,0.078,-0.108,-0.029
"pb_total",0.292,0.3,0.207,0.231,0.295,0.146,0.22,0.312,0.226,0.157,-0.049,1,0.566,0.751,0.164,0.159,0.018
"pb_citizenship",0.088,0.066,-0.001,0.113,-0.027,0.068,-0.14,0.224,0.385,-0.143,0.055,0.566,1,0.413,0.111,-0.031,-0.062
"pb_belonging",0.685,0.628,0.448,0.482,0.578,0.388,0.339,0.648,0.307,-0.071,-0.215,0.751,0.413,1,0.158,0.16,-0.059
"age",0.096,0.221,-0.028,0.262,-0.066,-0.083,-0.04,0.164,0.081,0.022,0.078,0.164,0.111,0.158,1,0.327,0.308
"gender_binary",0.23,0.233,0.003,0.152,0.195,0.121,0.177,0.209,0.096,-0.034,-0.108,0.159,-0.031,0.16,0.327,1,0.011
"uni_binary",-0.103,-0.022,-0.003,-0.08,-0.065,-0.092,-0.051,-0.072,-0.146,0.197,-0.029,0.018,-0.062,-0.059,0.308,0.011,1
