"institution_mean","bund_mean","council_mean","police_mean","court_mean","media_mean","immigr_mean","citizens_mean","german_citizen_binary","migration_background","migration_generation","discrim_mean","pb_total","pb_citizenship","pb_belonging","pe01_exp_binary","pe02_exp_binary","pe03_exp_binary","pe04_exp_binary","pe05_exp_binary","pe06_exp_binary","pe07_exp_binary","pe01_exp_degree","pe02_exp_degree","pe03_exp_degree","pe04_exp_degree","pe05_exp_degree","pe06_exp_degree","pe07_exp_degree","age","gender_binary","uni_binary"
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.21428571428571,6,9,4.66666666666667,8,8.25,NA,NA,0,1,NA,1,42,8.5,8.33333333333333,0,0,0,0,1,0,0,NA,NA,NA,NA,3,NA,NA,28,1,1
3.85714285714286,2,2,5,3.66666666666667,5,NA,NA,1,1,NA,2.71428571428571,47,8.5,10,0,0,1,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,26,0,1
5.85714285714286,4.5,5.5,6.66666666666667,5.33333333333333,6.5,NA,NA,1,0,NA,1,31,8,7.66666666666667,0,0,1,0,0,0,0,NA,NA,3,NA,NA,NA,NA,27,1,0
3.4,3,5,1.33333333333333,4.66666666666667,1.75,10,NA,1,1,NA,1.5,39,10,6.33333333333333,0,0,1,0,0,1,0,NA,NA,2,NA,NA,3,NA,25,0,1
4.77777777777778,3.5,4,4.66666666666667,3,6.25,NA,5.75,1,0,NA,1.71428571428571,26,6,4.66666666666667,0,0,1,0,0,0,1,NA,NA,3,NA,NA,NA,3,29,0,1
7,6,8,6.33333333333333,6.66666666666667,4.5,9,9,0,1,NA,1,35,6,7.66666666666667,0,0,1,0,1,1,1,NA,NA,3,NA,2,3,3,29,0,1
6.61111111111111,7.5,6.5,6,7,6.5,NA,6.5,1,1,NA,1,24,4,6.66666666666667,0,0,1,1,1,0,1,NA,NA,2,2,2,NA,2,30,0,1
4.83333333333333,3,5,4.66666666666667,6,3.5,NA,6.25,1,1,NA,1.57142857142857,37,8,7,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,2,25,0,1
