case,serial,ref,questnnr,mode,language,started,ci01,ci02,ci02s,ci03,ci04,ci04s,ci05,ci06,ci06s,ci15,ci07,ci07_02,ci07_03,ci07_04,ci07_05,ci07_06,ci08,ci08s,ci16,ci17,ci18,ci09,ci10,ci11,ci12,ci13,ci14,ci14_01,ci14_02,ci14_03,ci14_04,ci14_05,ci14_06,ci14_07,ci14_08,ci14_09,ci14_10,ci14_11,ci14_11a,de05_01,de05_01a,de02,de03,de03_13,de04_01,de04_01a,di01_01,di01_02,di01_03,di01_04,di01_05,di01_06,di01_07,di02,di02_01,di02_16,di02_02,di02_04,di02_09,di02_05,di02_03,di02_14,di02_17,di02_08,di02_11,di02_15,di02_15a,di03,di04,di04_02,di04_01,di04_07,di04_06,di04_08,di04_03,di04_13,di04_11,di04_14,di04_12,di04_09,di04_10,in01_01,in01_02,in02_01,in02_02,in03_01,in03_02,in03_03,in05_01,in05_02,in05_03,in06_01,in06_02,in06_03,in06_04,in07_01,in07_02,in07_03,in07_05,in07_06,in08_01,in08_02,in08_04,in08_05,mi02_01,pb01_01,pb01_03,pb01_02,pb01_04,pb01_05,pe01,pe02,pe03,pe04,pe05,pe06,pe07,time001,time002,time003,time004,time005,time006,time007,time008,time009,time010,time011,time012,time013,time014,time015,time016,time017,time018,time019,time020,time021,time022,time023,time025,time026,time027,time028,time029,time_sum,mailsent,lastdata,status,finished,q_viewer,lastpage,maxpage,missing,missrel,time_rsi,age,gender_binary,gender_categories,uni_binary,length_residence_4cats,german_citizen_binary,discriminated_group_binary,bund_mean,council_mean,police_mean,court_mean,media_mean,immigr_mean,citizens_mean,institution_mean,discrim_mean,pb_total,pb_citizenship,pb_belonging,self_born_abroad,mother_born_abroad,father_born_abroad,migration_background,migration_generation,pe01_exp_binary,pe02_exp_binary,pe03_exp_binary,pe04_exp_binary,pe05_exp_binary,pe06_exp_binary,pe07_exp_binary,pe01_exp_degree,pe02_exp_degree,pe03_exp_degree,pe04_exp_degree,pe05_exp_degree,pe06_exp_degree,pe07_exp_degree,exp_frequency,exp_degree_mean
Interview number (sequential),Serial number (if provided),Reference (if provided in link),Questionnaire that has been used in the interview,Interview mode,Language,Time the interview has started (Europe/Berlin),NA,NA,Country of birth - open (free text),NA,NA,Mother Country of birth - open (free text),NA,NA,Father Country of birth - open (free text),NA,Citizenship: Residual option (negative) or number of selected options,Citizenship: Turkey,Citizenship: Ukraine,Citizenship: Syria,Citizenship: Romania,Citizenship: Afghanistan,Citizenship - open I,Citizenship - open I (free text),Citizenship - open II,Citizenship - open III,Citizenship - open IV,Non-German residence,German residence,NA,Desire for citizenship,Plans for citizenship,Ethnicity: Residual option (negative) or number of selected options,Ethnicity: European descent,Ethnicity: Black or African descent,Ethnicity: Hispanic or Latino,Ethnicity: Middle Eastern or North African (MENA),Ethnicity: South Asian,Ethnicity: East Asian,Ethnicity: Southeast Asian,Ethnicity: Indigenous / Native / Aboriginal,Ethnicity: Pacific Islander,Ethnicity: Mixed or Multiracial,"Ethnicity: Other, namely","Ethnicity: Other, namely (free text)",NA,Birthyear - input: [01]: Prefer not to say,NA,NA,"Educational diploma: Other, namely",Postal code: [01],Postal code: [01]: Prefer not to say,NA,NA,NA,NA,NA,NA,NA,Discrimination - Explanation: Residual option (negative) or number of selected options,Discrimination - Explanation: Nationality or ethnicity,Discrimination - Explanation: Skin colour or race,Discrimination - Explanation: Gender,Discrimination - Explanation: Age,Discrimination - Explanation: Sexual orientation,Discrimination - Explanation: Religion,Discrimination - Explanation: Migration status,Discrimination - Explanation: Class,Discrimination - Explanation: Education level,Discrimination - Explanation: Aspect of physical appearance,Discrimination - Explanation: Disability,"Discrimination - Explanation: Other, namely","Discrimination - Explanation: Other, namely (free text)",NA,Discrimination - Grounds: Residual option (negative) or number of selected options,Discrimination - Grounds: Nationality or ethnicity,Discrimination - Grounds: Skin colour or race,Discrimination - Grounds: Gender,Discrimination - Grounds: Age,Discrimination - Grounds: Sexual orientation,Discrimination - Grounds: Religion,Discrimination - Grounds: Migration status,Discrimination - Grounds: Class,Discrimination - Grounds: Education level,Discrimination - Grounds: Aspect of physical appearance,Discrimination - Grounds: Disability,"Discrimination - Grounds: Other, namely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Feedback: We welcome your feedback,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Time spent on page 1,Time spent on page 2,Time spent on page 3,Time spent on page 4,Time spent on page 5,Time spent on page 6,Time spent on page 7,Time spent on page 8,Time spent on page 9,Time spent on page 10,Time spent on page 11,Time spent on page 12,Time spent on page 13,Time spent on page 14,Time spent on page 15,Time spent on page 16,Time spent on page 17,Time spent on page 18,Time spent on page 19,Time spent on page 20,Time spent on page 21,Time spent on page 22,Time spent on page 23,Time spent on page 25,Time spent on page 26,Time spent on page 27,Time spent on page 28,Time spent on page 29,Time spent overall (except outliers),"Time when the invitation mailing was sent (personally identifiable recipients, only)",Time when the data was most recently updated,Interview status marker,Has the interview been finished (reached last page)?,"Did the respondent only view the questionnaire, omitting mandatory questions?",Last page that the participant has handled in the questionnaire,Hindmost page handled by the participant,Missing answers in percent,Missing answers (weighted by relevance),Completion Speed (relative),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,Non-migrant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,base,interview,eng,46150.992291667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,4,3,10,4,4,9,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,46150.992916667,NA,0,0,15,15,39,9,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,Non-migrant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,base,interview,tur,46152.692974537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,46152.693090278,NA,0,0,1,2,100,100,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,Non-migrant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,base,interview,ger,46153.528009259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,46153.528101852,NA,0,0,2,2,100,100,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,Non-migrant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,base,interview,ger,46154.669583333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,46154.67037037,NA,0,0,2,2,100,100,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,0,Non-migrant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,base,interview,eng,46163.738344907,NA,147,NA,NA,147,NA,NA,147,NA,2,0,1,1,1,1,1,147,NA,NA,NA,NA,4,NA,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,1998,1,2,9,NA,60323,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,9,9,3,5,6,8,7,9,9,7,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,8,9,8,1,1,1,1,4,1,1,50,8,3,19,39,26,10,5,11,8,NA,11,6,4,46,307,37,47,20,36,135,28,22,NA,36,NA,70,9,498,NA,46163.749849537,complete,1,0,29,29,11,4,0.7,28,1,Male,1,0-5 years,0,0,6,9,4.666666666666667,8,8.25,NA,NA,7.214285714285714,1,42,8.5,8.333333333333334,TRUE,TRUE,TRUE,1,1st gen,0,0,0,0,1,0,0,NA,NA,NA,NA,3,NA,NA,1,3
110,NA,NA,base,interview,ger,46168.480925926,1,NA,NA,6,NA,NA,6,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,8,NA,NA,1,2,1,1,1,1,1,1,1,1,1,1,NA,2000,1,1,8,NA,61350,1,2,1,4,2,4,4,2,4,2,1,2,1,1,2,2,1,1,1,1,1,NA,1,3,2,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,4,5,6,4,1,6,7,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,10,10,10,1,1,3,1,1,NA,NA,3,7,1,6,5,8,4,3,11,NA,6,6,NA,NA,9,31,10,20,19,12,15,12,39,13,4,11,18,4,277,NA,46168.484131944,complete,1,0,29,29,13,2,1.56,26,0,Female,1,Since birth,1,1,2,2,5,3.6666666666666665,5,NA,NA,3.857142857142857,2.7142857142857144,47,8.5,10,FALSE,TRUE,TRUE,1,2nd gen,0,0,1,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2
111,NA,NA,base,interview,ger,46168.487199074,1,NA,NA,1,NA,NA,1,NA,NA,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,7,6,NA,NA,1,2,1,1,1,1,1,1,1,1,1,1,NA,1999,1,2,6,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,6,7,7,5,4,7,6,6,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,5,8,10,1,1,4,1,1,1,1,28,6,3,7,4,3,3,2,15,NA,5,5,NA,NA,7,58,61,30,13,26,23,12,34,NA,5,NA,28,4,382,NA,46168.491643519,complete,1,0,29,29,13,2,1.3,27,1,Male,0,16+ years,1,0,4.5,5.5,6.666666666666667,5.333333333333333,6.5,NA,NA,5.857142857142857,1,31,8,7.666666666666667,FALSE,FALSE,FALSE,0,Non-migrant,0,0,1,0,0,0,0,NA,NA,3,NA,NA,NA,NA,1,3
112,NA,NA,base,interview,ger,46168.492418981,1,NA,NA,1,NA,NA,2,NA,NA,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,1,8,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,westasiatisch,2001,1,1,9,NA,61350,1,1,2,2,1,1,NA,2,2,2,1,1,1,1,2,1,1,1,1,1,1,NA,1,4,2,1,1,1,1,2,2,1,1,2,1,1,3,3,5,5,2,1,1,7,1,6,1,4,1,1,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,10,10,6,5,8,1,1,3,1,1,4,1,7,7,2,11,31,17,4,2,10,NA,12,4,NA,NA,299,43,33,32,25,46,29,25,81,15,8,14,36,4,477,NA,46168.501643519,complete,1,0,29,29,13,2,0.94,25,0,Female,1,Since birth,1,1,3,5,1.3333333333333333,4.666666666666667,1.75,10,NA,3.4,1.5,39,10,6.333333333333333,FALSE,FALSE,TRUE,1,2nd gen,0,0,1,0,0,1,0,NA,NA,2,NA,NA,3,NA,2,2.5
113,NA,NA,base,interview,ger,46168.493831019,1,NA,NA,1,NA,NA,1,NA,NA,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,8,NA,NA,1,2,1,1,1,1,1,1,1,1,1,1,NA,1997,1,1,8,NA,60323,1,3,1,1,1,1,3,2,3,1,1,2,2,1,1,1,1,1,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,4,6,3,2,4,6,7,5,7,NA,NA,NA,NA,NA,5,7,7,4,NA,6,6,3,5,6,1,1,4,1,1,1,4,21,9,2,8,4,4,4,2,8,NA,4,4,NA,NA,6,30,11,32,20,46,24,35,60,46,6,NA,39,3,428,NA,46168.498796296,complete,1,0,29,29,13,2,1.21,29,0,Female,1,Since birth,1,0,3.5,4,4.666666666666667,3,6.25,NA,5.75,4.777777777777778,1.7142857142857142,26,6,4.666666666666667,FALSE,FALSE,FALSE,0,Non-migrant,0,0,1,0,0,0,1,NA,NA,3,NA,NA,NA,3,2,3
