"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"institution_mean",1,73,5.9113817554687,1.53533521641582,5.85714285714286,6.01244431287551,1.29005454545454,2.21052631578947,8.77777777777778,6.56725146198831,-0.546872007184153,-0.0273028331328269,0.179697395059927
"bund_mean",2,72,5.16666666666667,2.11300466927888,5.5,5.18965517241379,2.2239,1,10,9,-0.125627536609209,-0.613170796195492,0.249019988387656
"council_mean",3,72,5.52777777777778,2.21373575164037,5.5,5.6551724137931,2.2239,1,9,8,-0.412872283609123,-0.818467727117897,0.260891260290001
"police_mean",4,73,5.48858447488584,2.25741726109321,5.66666666666667,5.6045197740113,1.9768,1,9.33333333333333,8.33333333333333,-0.41296144589577,-0.602396124111264,0.264210705938696
"court_mean",5,70,6.2047619047619,2.02026198229602,6.66666666666667,6.32142857142857,1.97680000000001,1.66666666666667,10,8.33333333333333,-0.446227555039037,-0.453793696273883,0.241467491959082
"media_mean",6,70,5.84642857142857,1.94663277727008,6,5.93303571428571,2.2239,1,9,8,-0.344094126380685,-0.662715095473794,0.232667118726126
"immigr_mean",7,44,4.99659090909091,2.37212924431829,5,5.02361111111111,2.59455,1,10,9,-0.075335695012943,-0.907789718311924,0.357611938983321
"citizens_mean",8,64,7.21614583333333,1.71360611942759,7.75,7.41025641025641,1.4826,1.75,10,8.25,-1.01133483611134,0.760313605838638,0.214200764928449
"german_citizen_binary",9,76,0.710526315789474,0.456531546151609,1,0.758064516129032,0,0,1,1,-0.910150610350098,-1.18672353731218,0.0523677598477168
"migration_background",10,91,0.450549450549451,0.500305157184343,0,0.438356164383562,0,0,1,1,0.195509225187556,-1.98320869695836,0.0524462310010123
"discrim_mean",11,70,1.74673469387755,0.652724815482164,1.58571428571428,1.67321428571429,0.656580000000003,1,4.57142857142857,3.57142857142857,1.39935734394555,3.17840258416009,0.0780155373486795
"pb_total",12,91,24.5494505494506,15.7503183292443,30,25.0958904109589,13.3434,0,48,48,-0.555368021274486,-1.13936710379634,1.65108198780901
"pb_citizenship",13,67,7.17910447761194,1.81053627694425,7,7.26363636363636,2.2239,2,10,8,-0.451741382471003,-0.203137930403728,0.221192210941213
"pb_belonging",14,68,6.90686274509804,1.79929559483603,7,6.97619047619048,1.9768,1.66666666666667,10,8.33333333333333,-0.442601891784424,0.171725401110964,0.218196640859338
"age",15,76,31.8947368421053,12.0416819947696,28,29.7741935483871,4.4478,19,69,50,1.65227025960731,1.55750473970971,1.381275655933
"gender_binary",16,76,0.368421052631579,0.485581582933507,0,0.338709677419355,0,0,1,1,0.53481289238741,-1.73630416501781,0.0557000276013598
"uni_binary",17,80,0.825,0.382364396414689,1,0.90625,0,0,1,1,-1.67869970640222,0.828860254329004,0.0427496391279461
